brand,category,product_type,skin_type,sensitivity,rating,price,product
Maybelline,Makeup,Face Powder,Dry,No,3.5,95.89,Maybelline Face Powder Edition E3
Sephora,Makeup,Sunscreen,Oily,No,4,61.94,Sephora Sunscreen SPF100 Edition A8
Revlon,Makeup,Body Lotion,Normal,No,1.2,74.22,Revlon Body Lotion Edition E7
MAC,Skincare,Foundation,Oily,Yes,4.3,34.96,MAC Foundation Edition B4
Lancome,Skincare,Foundation,Dry,Yes,3.5,42.35,Lancome Foundation Edition A2
Sephora,Skincare,Foundation,Normal,No,3.3,27.51,Sephora Foundation Edition A9
Dior,Makeup,Foundation,Normal,Yes,3.5,14.21,Dior Foundation Edition E1
Maybelline,Makeup,Face Powder,Oily,No,4.5,22.01,Maybelline Face Powder Edition B4
Sephora,Skincare,Sunscreen,Dry,No,3.3,80.76,Sephora Sunscreen SPF100 Edition A6
MAC,Skincare,Face Cream,Oily,Yes,3.3,69.37,MAC Face Cream Edition C6
Maybelline,Makeup,Concealer,Oily,No,5,56.96,Maybelline Concealer Edition E6
Clinique,Makeup,Face Powder,Oily,No,4,50.13,Clinique Face Powder Edition E2
Sephora,Makeup,Face Powder,Normal,Yes,2.8,92.63,Sephora Face Powder Edition B2
Estee Lauder,Makeup,Face Cream,Normal,Yes,3.8,11.91,Estee Lauder Face Cream Edition B6
Maybelline,Skincare,Face Cream,Dry,No,2.6,31.66,Maybelline Face Cream Edition E4
MAC,Makeup,Concealer,Dry,Yes,1.9,38.24,MAC Concealer Edition D1
L'Oreal,Skincare,Concealer,Oily,Yes,3.4,79.33,L'Oreal Concealer Edition A1
Lancome,Skincare,Face Cream,Oily,No,4.7,99.29,Lancome Face Cream Edition C1
NARS,Skincare,Foundation,Oily,Yes,4.7,27.86,NARS Foundation Edition E4
Revlon,Makeup,Face Powder,Dry,Yes,2.4,88.06,Revlon Face Powder Edition E9
NARS,Makeup,Body Lotion,Normal,No,3.1,83.91,NARS Body Lotion Edition C7
MAC,Makeup,Concealer,Normal,Yes,1.8,26.34,MAC Concealer Edition C8
Dior,Makeup,Concealer,Oily,Yes,5,42.94,Dior Concealer Edition D1
Dior,Skincare,Face Cream,Oily,No,4.9,43.92,Dior Face Cream Edition B3
L'Oreal,Makeup,Sunscreen,Oily,No,3.6,97.93,L'Oreal Sunscreen SPF50 Edition D4
Revlon,Makeup,Body Lotion,Oily,No,4.2,22.18,Revlon Body Lotion Edition A3
Estee Lauder,Skincare,Body Lotion,Dry,Yes,3.9,80.92,Estee Lauder Body Lotion Edition A2
L'Oreal,Makeup,Concealer,Normal,No,3.4,36.75,L'Oreal Concealer Edition C1
NARS,Skincare,Foundation,Oily,No,1.2,74.43,NARS Foundation Edition B3
L'Oreal,Skincare,Sunscreen,Dry,Yes,2.8,44.9,L'Oreal Sunscreen SPF50 Edition D5
NARS,Skincare,Body Lotion,Oily,No,3.7,59.94,NARS Body Lotion Edition E2
Maybelline,Skincare,Concealer,Oily,No,3.7,84.1,Maybelline Concealer Edition B7
Dior,Skincare,Body Lotion,Normal,No,2.5,81.4,Dior Body Lotion Edition A2
Maybelline,Skincare,Sunscreen,Oily,No,4.8,87.31,Maybelline Sunscreen SPF50 Edition C7
Lancome,Skincare,Sunscreen,Normal,Yes,1.7,10.66,Lancome Sunscreen SPF15 Edition D7
Revlon,Skincare,Face Powder,Normal,No,3,70.74,Revlon Face Powder Edition B1
Estee Lauder,Makeup,Face Cream,Normal,No,3.8,18.3,Estee Lauder Face Cream Edition E2
NARS,Makeup,Face Cream,Dry,Yes,3.8,44.5,NARS Face Cream Edition A7
Estee Lauder,Makeup,Concealer,Dry,No,3.6,57.12,Estee Lauder Concealer Edition D4
NARS,Makeup,Sunscreen,Normal,Yes,2.1,43.26,NARS Sunscreen SPF70 Edition B5
MAC,Skincare,Face Powder,Oily,Yes,1.6,54.36,MAC Face Powder Edition D1
L'Oreal,Makeup,Face Powder,Normal,Yes,3.5,99.67,L'Oreal Face Powder Edition D8
Lancome,Skincare,Body Lotion,Oily,No,3.4,17.85,Lancome Body Lotion Edition C6
Dior,Makeup,Body Lotion,Normal,Yes,1.7,69.17,Dior Body Lotion Edition D9
NARS,Makeup,Face Powder,Oily,Yes,3.8,42.62,NARS Face Powder Edition A3
Estee Lauder,Makeup,Body Lotion,Dry,Yes,2.8,17.64,Estee Lauder Body Lotion Edition A5
Lancome,Skincare,Sunscreen,Oily,No,3.7,20.08,Lancome Sunscreen SPF50 Edition C6
Clinique,Makeup,Foundation,Normal,No,4.3,95.18,Clinique Foundation Edition E4
Clinique,Skincare,Sunscreen,Dry,No,1.7,88.56,Clinique Sunscreen SPF70 Edition E5
Maybelline,Skincare,Face Powder,Oily,No,1.1,91.17,Maybelline Face Powder Edition D4
Dior,Makeup,Face Powder,Oily,No,4.1,99.2,Dior Face Powder Edition D4
MAC,Makeup,Sunscreen,Oily,No,3.4,24.79,MAC Sunscreen SPF30 Edition E2
Estee Lauder,Makeup,Body Lotion,Oily,No,3.8,38.77,Estee Lauder Body Lotion Edition A2
L'Oreal,Skincare,Body Lotion,Oily,Yes,4.4,68.58,L'Oreal Body Lotion Edition B5
L'Oreal,Makeup,Face Cream,Dry,Yes,4.2,50.96,L'Oreal Face Cream Edition D7
Estee Lauder,Skincare,Face Powder,Dry,Yes,4.8,44.75,Estee Lauder Face Powder Edition E6
Revlon,Skincare,Concealer,Dry,Yes,3.1,38.99,Revlon Concealer Edition B5
MAC,Makeup,Face Cream,Dry,No,3,61.41,MAC Face Cream Edition A3
Lancome,Makeup,Body Lotion,Normal,Yes,2.6,59.68,Lancome Body Lotion Edition A1
NARS,Skincare,Sunscreen,Dry,Yes,1.6,20.34,NARS Sunscreen SPF70 Edition E2
Revlon,Skincare,Body Lotion,Oily,Yes,3.3,49.82,Revlon Body Lotion Edition C1
NARS,Skincare,Sunscreen,Oily,Yes,2.1,57.58,NARS Sunscreen SPF30 Edition C7
NARS,Makeup,Face Cream,Dry,No,4.7,59.18,NARS Face Cream Edition C4
Revlon,Skincare,Face Powder,Oily,No,3.3,24.96,Revlon Face Powder Edition B3
Maybelline,Makeup,Body Lotion,Dry,No,3.4,75.52,Maybelline Body Lotion Edition A3
Clinique,Skincare,Sunscreen,Oily,Yes,2.4,7.39,Clinique Sunscreen SPF30 Edition C5
NARS,Skincare,Face Powder,Normal,No,1.2,38.71,NARS Face Powder Edition D7
Revlon,Makeup,Concealer,Normal,Yes,1.1,79.12,Revlon Concealer Edition D3
Revlon,Skincare,Sunscreen,Dry,No,2.7,58.57,Revlon Sunscreen SPF30 Edition E1
Sephora,Makeup,Face Cream,Dry,No,1.3,29.81,Sephora Face Cream Edition B1
Maybelline,Makeup,Concealer,Dry,No,3.4,71.02,Maybelline Concealer Edition E9
Dior,Skincare,Concealer,Oily,No,4.5,58.9,Dior Concealer Edition A1
Sephora,Makeup,Foundation,Dry,No,4.5,80.64,Sephora Foundation Edition D4
Sephora,Makeup,Body Lotion,Normal,Yes,3.6,74.83,Sephora Body Lotion Edition B9
Estee Lauder,Skincare,Sunscreen,Oily,No,1.8,62.96,Estee Lauder Sunscreen SPF15 Edition A2
Clinique,Makeup,Concealer,Dry,Yes,4.5,51.38,Clinique Concealer Edition B4
Revlon,Makeup,Foundation,Oily,Yes,4.5,17.65,Revlon Foundation Edition B2
Clinique,Makeup,Face Cream,Oily,Yes,1.8,29.83,Clinique Face Cream Edition A1
MAC,Skincare,Face Powder,Dry,Yes,3.9,44.81,MAC Face Powder Edition D7
Estee Lauder,Makeup,Sunscreen,Oily,Yes,2.1,61.93,Estee Lauder Sunscreen SPF50 Edition C3
Dior,Skincare,Concealer,Normal,No,4.2,53.8,Dior Concealer Edition B6
Clinique,Skincare,Body Lotion,Normal,No,5,32.38,Clinique Body Lotion Edition E2
L'Oreal,Makeup,Foundation,Oily,No,1.1,5.61,L'Oreal Foundation Edition B4
NARS,Makeup,Concealer,Dry,No,4.6,52.14,NARS Concealer Edition B9
MAC,Makeup,Body Lotion,Oily,Yes,3.5,32.13,MAC Body Lotion Edition A6
Maybelline,Skincare,Concealer,Normal,No,4.9,74.79,Maybelline Concealer Edition E4
Dior,Makeup,Sunscreen,Oily,No,2.9,7.27,Dior Sunscreen SPF100 Edition A4
MAC,Makeup,Sunscreen,Oily,Yes,4.4,60.56,MAC Sunscreen SPF70 Edition D2
NARS,Makeup,Sunscreen,Normal,Yes,1.2,94.44,NARS Sunscreen SPF100 Edition E6
Estee Lauder,Makeup,Face Cream,Oily,No,2.3,21.57,Estee Lauder Face Cream Edition E9
NARS,Makeup,Face Cream,Oily,No,1.3,49.81,NARS Face Cream Edition B1
Sephora,Skincare,Foundation,Dry,Yes,4.9,13.69,Sephora Foundation Edition C2
NARS,Skincare,Sunscreen,Dry,No,4.3,64.44,NARS Sunscreen SPF30 Edition D3
Sephora,Makeup,Body Lotion,Normal,No,4.4,57.3,Sephora Body Lotion Edition A9
Estee Lauder,Makeup,Concealer,Normal,No,4.8,43.7,Estee Lauder Concealer Edition B2
Lancome,Makeup,Face Powder,Normal,No,1.3,54.53,Lancome Face Powder Edition C4
Sephora,Makeup,Body Lotion,Dry,Yes,2.5,90.17,Sephora Body Lotion Edition A3
Maybelline,Skincare,Face Cream,Normal,Yes,1.3,23.65,Maybelline Face Cream Edition E7
NARS,Makeup,Face Cream,Normal,Yes,1.8,7.14,NARS Face Cream Edition D3
NARS,Skincare,Body Lotion,Normal,No,1.9,86.86,NARS Body Lotion Edition A2
Maybelline,Skincare,Face Cream,Dry,No,2.9,59.83,Maybelline Face Cream Edition E6
L'Oreal,Makeup,Sunscreen,Oily,No,2.1,89.61,L'Oreal Sunscreen SPF30 Edition A2
Revlon,Skincare,Foundation,Normal,No,1.4,61.71,Revlon Foundation Edition E5
Lancome,Skincare,Concealer,Oily,No,1.7,81.97,Lancome Concealer Edition B8
Dior,Skincare,Foundation,Normal,Yes,1.6,45.82,Dior Foundation Edition C9
Sephora,Skincare,Concealer,Oily,No,4.9,76.24,Sephora Concealer Edition B5
Maybelline,Makeup,Concealer,Dry,No,4,91.74,Maybelline Concealer Edition C3
Estee Lauder,Makeup,Foundation,Dry,Yes,4.9,59.35,Estee Lauder Foundation Edition B9
Sephora,Skincare,Body Lotion,Normal,No,2.8,22.17,Sephora Body Lotion Edition E6
Revlon,Makeup,Concealer,Oily,Yes,2.1,30.54,Revlon Concealer Edition C1
Estee Lauder,Makeup,Foundation,Dry,Yes,4.2,23.87,Estee Lauder Foundation Edition B1
MAC,Makeup,Concealer,Normal,Yes,2.3,28.45,MAC Concealer Edition D2
NARS,Makeup,Face Powder,Normal,Yes,2.2,34.11,NARS Face Powder Edition C7
MAC,Makeup,Body Lotion,Dry,Yes,1.9,57.74,MAC Body Lotion Edition B2
Sephora,Skincare,Sunscreen,Dry,No,1.5,60.86,Sephora Sunscreen SPF70 Edition E4
Revlon,Makeup,Concealer,Normal,Yes,2,45.52,Revlon Concealer Edition D6
Lancome,Makeup,Face Powder,Oily,Yes,2.4,63.46,Lancome Face Powder Edition E2
Sephora,Makeup,Sunscreen,Oily,No,3.7,12.75,Sephora Sunscreen SPF30 Edition C8
Maybelline,Makeup,Sunscreen,Oily,No,1.3,13.34,Maybelline Sunscreen SPF50 Edition A9
Clinique,Skincare,Concealer,Normal,Yes,1.8,21.32,Clinique Concealer Edition D8
Sephora,Skincare,Foundation,Dry,No,4.2,54.22,Sephora Foundation Edition A3
NARS,Skincare,Concealer,Normal,No,1.6,25.33,NARS Concealer Edition E8
NARS,Skincare,Face Powder,Dry,Yes,2.4,31.91,NARS Face Powder Edition C7
Sephora,Makeup,Sunscreen,Oily,Yes,4.5,43.03,Sephora Sunscreen SPF30 Edition C8
Estee Lauder,Skincare,Concealer,Oily,No,1.6,82.13,Estee Lauder Concealer Edition C3
Clinique,Makeup,Foundation,Dry,Yes,1.3,6.32,Clinique Foundation Edition B7
Maybelline,Makeup,Concealer,Dry,Yes,2.9,66.69,Maybelline Concealer Edition D9
Sephora,Makeup,Body Lotion,Normal,No,2.2,68.54,Sephora Body Lotion Edition A3
Estee Lauder,Makeup,Foundation,Oily,Yes,3.3,80.87,Estee Lauder Foundation Edition E3
NARS,Makeup,Face Powder,Normal,Yes,4.2,93.61,NARS Face Powder Edition A7
NARS,Skincare,Sunscreen,Normal,Yes,1.5,6.91,NARS Sunscreen SPF100 Edition B8
Revlon,Skincare,Concealer,Normal,Yes,3.3,19.61,Revlon Concealer Edition B5
Sephora,Skincare,Foundation,Oily,Yes,3,89.19,Sephora Foundation Edition E1
Clinique,Skincare,Body Lotion,Normal,No,1.6,48.56,Clinique Body Lotion Edition B5
L'Oreal,Makeup,Foundation,Normal,No,3.5,58.64,L'Oreal Foundation Edition E1
Clinique,Skincare,Face Cream,Normal,Yes,2.1,67.99,Clinique Face Cream Edition C7
NARS,Makeup,Body Lotion,Normal,No,3,69.51,NARS Body Lotion Edition A2
NARS,Skincare,Face Powder,Normal,Yes,1.3,93.52,NARS Face Powder Edition B5
MAC,Makeup,Sunscreen,Normal,Yes,2.8,99.71,MAC Sunscreen SPF15 Edition B7
NARS,Makeup,Face Powder,Oily,Yes,2.2,73.41,NARS Face Powder Edition B1
Maybelline,Skincare,Concealer,Normal,Yes,4.3,32.29,Maybelline Concealer Edition A6
Dior,Makeup,Foundation,Dry,Yes,1.2,88.58,Dior Foundation Edition B1
Sephora,Makeup,Face Cream,Normal,No,2.7,9.68,Sephora Face Cream Edition B6
Clinique,Skincare,Body Lotion,Normal,No,2.8,26.95,Clinique Body Lotion Edition B8
Dior,Makeup,Body Lotion,Oily,Yes,3.9,90.25,Dior Body Lotion Edition B9
Estee Lauder,Skincare,Foundation,Oily,No,3.3,29.34,Estee Lauder Foundation Edition D1
L'Oreal,Skincare,Face Cream,Dry,Yes,3.7,25.96,L'Oreal Face Cream Edition E6
Maybelline,Skincare,Foundation,Dry,No,4.1,18.12,Maybelline Foundation Edition B7
Clinique,Makeup,Concealer,Oily,Yes,4.4,86.62,Clinique Concealer Edition D3
Dior,Makeup,Face Powder,Oily,No,2.3,52.51,Dior Face Powder Edition C7
L'Oreal,Makeup,Body Lotion,Normal,Yes,3.2,69.11,L'Oreal Body Lotion Edition B9
MAC,Skincare,Concealer,Oily,Yes,4.4,27.71,MAC Concealer Edition E5
Maybelline,Makeup,Face Powder,Dry,No,5,77.01,Maybelline Face Powder Edition A5
Maybelline,Skincare,Concealer,Normal,No,4.6,77.2,Maybelline Concealer Edition C9
MAC,Skincare,Face Cream,Dry,Yes,2.5,34.7,MAC Face Cream Edition D2
Sephora,Makeup,Body Lotion,Normal,No,1.8,44.01,Sephora Body Lotion Edition A2
MAC,Skincare,Foundation,Oily,Yes,3,24.92,MAC Foundation Edition C2
Maybelline,Makeup,Foundation,Dry,No,4,97.77,Maybelline Foundation Edition C6
Maybelline,Makeup,Face Powder,Normal,No,3,66.33,Maybelline Face Powder Edition C8
Dior,Makeup,Sunscreen,Normal,Yes,2.9,93.78,Dior Sunscreen SPF15 Edition C6
NARS,Makeup,Face Cream,Oily,No,4.4,33.82,NARS Face Cream Edition C3
L'Oreal,Makeup,Face Powder,Oily,No,2.4,79.28,L'Oreal Face Powder Edition B7
MAC,Skincare,Sunscreen,Oily,Yes,4.4,77.76,MAC Sunscreen SPF70 Edition A4
L'Oreal,Skincare,Concealer,Dry,No,2.6,70.71,L'Oreal Concealer Edition E3
MAC,Skincare,Face Cream,Normal,Yes,2.3,96.74,MAC Face Cream Edition C9
Estee Lauder,Makeup,Concealer,Oily,Yes,2.8,42.39,Estee Lauder Concealer Edition D5
Maybelline,Makeup,Body Lotion,Dry,Yes,4,17.42,Maybelline Body Lotion Edition A2
NARS,Makeup,Face Cream,Dry,Yes,1.5,68.81,NARS Face Cream Edition D9
Dior,Skincare,Sunscreen,Dry,Yes,1.8,74.28,Dior Sunscreen SPF100 Edition B5
NARS,Makeup,Body Lotion,Oily,No,4.8,59.63,NARS Body Lotion Edition C6
NARS,Skincare,Foundation,Oily,Yes,1.7,24.65,NARS Foundation Edition D7
NARS,Skincare,Sunscreen,Normal,Yes,3.3,52.92,NARS Sunscreen SPF70 Edition B3
L'Oreal,Makeup,Face Powder,Normal,No,3.3,34.66,L'Oreal Face Powder Edition B9
MAC,Makeup,Foundation,Oily,No,3,45.61,MAC Foundation Edition C1
Lancome,Skincare,Foundation,Dry,No,3.6,66.3,Lancome Foundation Edition C2
Estee Lauder,Makeup,Face Powder,Dry,Yes,1.9,75.8,Estee Lauder Face Powder Edition B6
Clinique,Skincare,Face Cream,Dry,Yes,3.2,27.06,Clinique Face Cream Edition C8
NARS,Makeup,Foundation,Normal,Yes,2.5,43.51,NARS Foundation Edition B3
Sephora,Makeup,Sunscreen,Dry,No,3.6,30.57,Sephora Sunscreen SPF15 Edition B9
L'Oreal,Skincare,Body Lotion,Normal,Yes,1.6,23.87,L'Oreal Body Lotion Edition E3
Dior,Makeup,Foundation,Normal,No,3.3,79.42,Dior Foundation Edition B2
Clinique,Skincare,Sunscreen,Dry,Yes,1.7,91.38,Clinique Sunscreen SPF100 Edition A6
Lancome,Makeup,Concealer,Dry,No,2.1,40.17,Lancome Concealer Edition A1
Sephora,Skincare,Sunscreen,Oily,Yes,1.9,76.37,Sephora Sunscreen SPF70 Edition E6
Lancome,Skincare,Body Lotion,Oily,Yes,1.7,90.21,Lancome Body Lotion Edition D1
Clinique,Makeup,Sunscreen,Dry,Yes,4.3,85.38,Clinique Sunscreen SPF30 Edition C8
NARS,Skincare,Face Powder,Normal,No,2.1,22.37,NARS Face Powder Edition D3
Sephora,Makeup,Body Lotion,Normal,No,4.7,95.85,Sephora Body Lotion Edition D7
Lancome,Makeup,Face Cream,Normal,Yes,4.9,40.78,Lancome Face Cream Edition D2
Dior,Makeup,Concealer,Normal,Yes,3.3,37.23,Dior Concealer Edition E9
MAC,Skincare,Face Powder,Normal,Yes,1.6,10.93,MAC Face Powder Edition E5
Maybelline,Skincare,Face Cream,Oily,No,2.5,51.19,Maybelline Face Cream Edition C1
MAC,Makeup,Sunscreen,Dry,Yes,4.2,15.36,MAC Sunscreen SPF15 Edition B8
Clinique,Makeup,Body Lotion,Oily,Yes,2.5,28.61,Clinique Body Lotion Edition E3
L'Oreal,Skincare,Concealer,Normal,Yes,1.3,35.11,L'Oreal Concealer Edition D7
Maybelline,Makeup,Face Powder,Normal,Yes,3.2,81.84,Maybelline Face Powder Edition A2
Estee Lauder,Makeup,Face Cream,Normal,No,4.4,88.17,Estee Lauder Face Cream Edition A3
Dior,Skincare,Face Cream,Normal,No,4.2,33.73,Dior Face Cream Edition B7
Estee Lauder,Makeup,Concealer,Dry,Yes,1.7,86.58,Estee Lauder Concealer Edition E5
Sephora,Skincare,Sunscreen,Normal,Yes,3.7,86.44,Sephora Sunscreen SPF70 Edition B5
Maybelline,Makeup,Concealer,Dry,No,1.9,77.64,Maybelline Concealer Edition E5
Estee Lauder,Skincare,Face Cream,Normal,No,1.9,18.94,Estee Lauder Face Cream Edition E4
Estee Lauder,Makeup,Foundation,Dry,Yes,4.5,70.58,Estee Lauder Foundation Edition E6
Lancome,Makeup,Face Powder,Oily,No,2,94.78,Lancome Face Powder Edition D2
MAC,Skincare,Concealer,Normal,No,2.1,69.84,MAC Concealer Edition A2
Lancome,Makeup,Face Cream,Dry,Yes,1,36.5,Lancome Face Cream Edition A6
Maybelline,Skincare,Sunscreen,Oily,No,4.5,52.56,Maybelline Sunscreen SPF50 Edition A9
Maybelline,Makeup,Face Cream,Normal,No,4.2,66.34,Maybelline Face Cream Edition A1
Clinique,Skincare,Sunscreen,Normal,Yes,3.5,53.5,Clinique Sunscreen SPF100 Edition C5
Lancome,Skincare,Concealer,Normal,Yes,4,16.4,Lancome Concealer Edition C9
Revlon,Skincare,Sunscreen,Dry,No,1.6,34.65,Revlon Sunscreen SPF50 Edition A3
MAC,Skincare,Body Lotion,Dry,Yes,2.8,81.23,MAC Body Lotion Edition D5
Maybelline,Makeup,Body Lotion,Oily,No,2.4,86.83,Maybelline Body Lotion Edition B6
Clinique,Makeup,Body Lotion,Dry,Yes,1.4,18.04,Clinique Body Lotion Edition E9
Lancome,Skincare,Foundation,Dry,No,2.9,95.48,Lancome Foundation Edition C5
MAC,Skincare,Concealer,Normal,Yes,4.7,36.24,MAC Concealer Edition D5
Lancome,Skincare,Face Cream,Normal,No,1.2,67.92,Lancome Face Cream Edition A8
Estee Lauder,Makeup,Face Cream,Normal,No,2.2,76.42,Estee Lauder Face Cream Edition B4
Clinique,Makeup,Foundation,Normal,No,1.8,82.13,Clinique Foundation Edition D2
MAC,Makeup,Sunscreen,Normal,Yes,2,94.85,MAC Sunscreen SPF15 Edition D7
NARS,Makeup,Foundation,Normal,Yes,4.6,34.73,NARS Foundation Edition D9
Sephora,Skincare,Sunscreen,Normal,No,2.9,86.56,Sephora Sunscreen SPF30 Edition B7
Sephora,Skincare,Sunscreen,Oily,No,2.9,17.51,Sephora Sunscreen SPF70 Edition E2
MAC,Skincare,Face Powder,Oily,Yes,4,71.98,MAC Face Powder Edition A5
Lancome,Makeup,Face Cream,Oily,Yes,1.6,75.49,Lancome Face Cream Edition A8
Clinique,Makeup,Body Lotion,Oily,Yes,2.9,69.38,Clinique Body Lotion Edition B1
Sephora,Makeup,Sunscreen,Normal,Yes,2.7,28.97,Sephora Sunscreen SPF70 Edition B7
Clinique,Skincare,Face Powder,Oily,Yes,3.4,87.94,Clinique Face Powder Edition B5
Sephora,Skincare,Face Cream,Normal,Yes,5,21.04,Sephora Face Cream Edition D7
Estee Lauder,Makeup,Body Lotion,Oily,No,4.1,10.1,Estee Lauder Body Lotion Edition C2
Lancome,Skincare,Sunscreen,Dry,Yes,2.6,73.16,Lancome Sunscreen SPF100 Edition E7
Estee Lauder,Makeup,Sunscreen,Oily,No,4.3,50.17,Estee Lauder Sunscreen SPF15 Edition A1
Sephora,Makeup,Foundation,Oily,Yes,1.7,85.66,Sephora Foundation Edition E1
NARS,Skincare,Foundation,Normal,Yes,1.1,41.42,NARS Foundation Edition A1
NARS,Makeup,Face Cream,Oily,No,1.8,20.99,NARS Face Cream Edition B4
Estee Lauder,Skincare,Body Lotion,Dry,No,2.4,84.46,Estee Lauder Body Lotion Edition C5
NARS,Makeup,Sunscreen,Normal,Yes,3,57.15,NARS Sunscreen SPF15 Edition E2
Sephora,Skincare,Face Cream,Normal,No,3.5,22.97,Sephora Face Cream Edition B9
MAC,Skincare,Face Cream,Oily,No,4.6,73.44,MAC Face Cream Edition A6
Estee Lauder,Skincare,Concealer,Normal,No,3,53.56,Estee Lauder Concealer Edition A3
L'Oreal,Makeup,Foundation,Normal,No,3,62.41,L'Oreal Foundation Edition C6
Lancome,Makeup,Body Lotion,Normal,Yes,1.2,48.79,Lancome Body Lotion Edition C8
NARS,Skincare,Sunscreen,Normal,No,1.1,83.73,NARS Sunscreen SPF70 Edition E2
NARS,Skincare,Face Cream,Normal,Yes,3.2,83.81,NARS Face Cream Edition A4
Maybelline,Makeup,Sunscreen,Normal,Yes,2.8,72.39,Maybelline Sunscreen SPF100 Edition B8
Revlon,Makeup,Concealer,Dry,Yes,4.4,15.01,Revlon Concealer Edition C1
Estee Lauder,Makeup,Body Lotion,Oily,Yes,1.6,84.69,Estee Lauder Body Lotion Edition C8
Dior,Skincare,Face Cream,Dry,No,1.1,68.75,Dior Face Cream Edition D3
NARS,Makeup,Sunscreen,Normal,No,2.8,71.22,NARS Sunscreen SPF30 Edition A5
Lancome,Makeup,Foundation,Normal,Yes,1.9,39.48,Lancome Foundation Edition C4
L'Oreal,Skincare,Concealer,Oily,Yes,1.2,88.53,L'Oreal Concealer Edition A9
NARS,Makeup,Body Lotion,Dry,Yes,3.9,73.91,NARS Body Lotion Edition C4
L'Oreal,Makeup,Concealer,Oily,Yes,1.4,15.7,L'Oreal Concealer Edition A2
Sephora,Makeup,Foundation,Dry,No,3.4,43.74,Sephora Foundation Edition A5
Sephora,Skincare,Body Lotion,Normal,Yes,2.1,89.21,Sephora Body Lotion Edition E6
Revlon,Skincare,Concealer,Oily,No,1.7,9.48,Revlon Concealer Edition C4
MAC,Skincare,Face Powder,Oily,Yes,2.5,96.33,MAC Face Powder Edition A7
Dior,Skincare,Foundation,Normal,Yes,4.2,69.52,Dior Foundation Edition A5
Maybelline,Skincare,Foundation,Oily,Yes,2.6,64.98,Maybelline Foundation Edition E2
Revlon,Skincare,Foundation,Dry,Yes,4,30.7,Revlon Foundation Edition E9
Clinique,Skincare,Face Powder,Dry,No,1.5,28.64,Clinique Face Powder Edition B6
Maybelline,Makeup,Face Powder,Dry,No,4.1,94.5,Maybelline Face Powder Edition B8
Estee Lauder,Makeup,Sunscreen,Dry,No,1.9,33.34,Estee Lauder Sunscreen SPF70 Edition C1
Lancome,Skincare,Face Cream,Normal,Yes,3.7,78.67,Lancome Face Cream Edition B8
Clinique,Makeup,Concealer,Oily,Yes,3.3,42.35,Clinique Concealer Edition E6
Clinique,Makeup,Sunscreen,Dry,No,4.7,18.23,Clinique Sunscreen SPF50 Edition C9
Revlon,Skincare,Concealer,Normal,No,2.5,6.02,Revlon Concealer Edition D2
MAC,Makeup,Face Cream,Oily,Yes,1.3,56.7,MAC Face Cream Edition B5
Revlon,Makeup,Face Powder,Oily,Yes,1.1,97.7,Revlon Face Powder Edition B9
Estee Lauder,Makeup,Face Cream,Normal,No,4.3,40.07,Estee Lauder Face Cream Edition D3
NARS,Makeup,Face Powder,Normal,Yes,3.1,38.93,NARS Face Powder Edition D6
NARS,Makeup,Face Cream,Dry,Yes,4.1,37.69,NARS Face Cream Edition B6
MAC,Skincare,Sunscreen,Oily,No,1.9,54.45,MAC Sunscreen SPF70 Edition C5
Estee Lauder,Skincare,Body Lotion,Oily,Yes,2.4,46.86,Estee Lauder Body Lotion Edition C1
MAC,Skincare,Sunscreen,Normal,No,1.1,88.59,MAC Sunscreen SPF50 Edition D7
L'Oreal,Makeup,Concealer,Oily,Yes,4.8,53.02,L'Oreal Concealer Edition D5
NARS,Skincare,Sunscreen,Dry,No,3.7,53.24,NARS Sunscreen SPF50 Edition E2
Clinique,Makeup,Foundation,Oily,Yes,4.7,18.15,Clinique Foundation Edition B2
Dior,Makeup,Concealer,Normal,No,2.1,98.36,Dior Concealer Edition D4
Lancome,Makeup,Face Cream,Normal,No,3.4,28.75,Lancome Face Cream Edition D6
Estee Lauder,Makeup,Concealer,Dry,No,3.7,11.97,Estee Lauder Concealer Edition B6
Maybelline,Skincare,Body Lotion,Dry,No,2.3,68,Maybelline Body Lotion Edition C3
MAC,Skincare,Face Powder,Oily,Yes,4.4,61.56,MAC Face Powder Edition C8
Lancome,Makeup,Face Cream,Oily,Yes,4.8,44.44,Lancome Face Cream Edition B8
Maybelline,Skincare,Concealer,Normal,No,4.5,45.11,Maybelline Concealer Edition E5
Lancome,Makeup,Face Cream,Dry,Yes,4,79.58,Lancome Face Cream Edition B7
Dior,Skincare,Face Cream,Dry,Yes,2.1,23.59,Dior Face Cream Edition B6
Maybelline,Skincare,Face Cream,Dry,Yes,2.1,82.92,Maybelline Face Cream Edition B3
Revlon,Makeup,Face Powder,Oily,Yes,4.9,66.63,Revlon Face Powder Edition A3
Sephora,Skincare,Sunscreen,Dry,Yes,1,44.8,Sephora Sunscreen SPF100 Edition C3
Revlon,Makeup,Face Cream,Normal,No,3.9,48.51,Revlon Face Cream Edition D7
NARS,Skincare,Foundation,Normal,No,3.8,29.38,NARS Foundation Edition A5
Sephora,Makeup,Body Lotion,Oily,No,3.5,76.45,Sephora Body Lotion Edition B3
Revlon,Makeup,Face Powder,Oily,No,5,53.72,Revlon Face Powder Edition E4
Sephora,Skincare,Concealer,Dry,Yes,2.2,35.48,Sephora Concealer Edition D2
